user_id,games_purchased,games_played,total_playtime,avg_playtime_per_game
19594216,6,1,0.3,0.3
19616379,10,5,169.3,33.86
19668647,12,12,204.0,17.0
19696244,110,87,2883.1,33.1390804597701
19925584,4,1,0.2,0.2
20200395,73,57,1138.9,19.980701754386
20207081,17,9,5316.4,590.711111111111
20266830,6,0,0,0
20321898,4,1,1.0,1.0
20362352,11,2,6.7,3.35
20363006,4,1,0.6,0.6
20366600,57,18,122.3,6.79444444444444
20464587,56,33,324.1,9.82121212121212
20498360,7,0,0,0
20557028,4,2,0.4,0.2
20566124,16,4,22.3,5.575
20593648,4,0,0,0
20626832,9,1,34.0,34.0
20630908,6,1,2.8,2.8
20643309,4,1,52.0,52.0
20683035,10,2,6.1,3.05
20704366,30,21,336.7,16.0333333333333
20724394,6,0,0,0
20772968,592,104,1395.0,13.4134615384615
20781671,3,0,0,0
20914736,17,3,193.0,64.3333333333333
20930269,12,1,0.1,0.1
21015565,6,1,0.3,0.3
21061921,340,148,2202.2,14.8797297297297
21075893,6,1,0.4,0.4
21138994,6,3,19.3,6.43333333333333
21144204,4,2,1.0,0.5
21261374,8,0,0,0
21316693,17,10,135.2,13.52
21406272,11,5,492.7,98.54
21416874,14,1,2.2,2.2
21535912,23,16,876.6,54.7875
21539893,45,27,463.4,17.162962962963
21551002,6,0,0,0
21557528,6,2,21.5,10.75
21580713,6,1,0.1,0.1
21590667,8,1,0.4,0.4
21683270,4,1,0.8,0.8
21796349,7,5,35.9,7.18
21805245,3,0,0,0
21822362,8,0,0,0
21861124,16,10,1587.9,158.79
21869048,4,1,796.0,796.0
21979395,19,11,913.6,83.0545454545455
22003611,6,3,401.2,133.733333333333
22045474,4,1,18.8,18.8
22075531,5,3,799.2,266.4
22088241,6,6,2002.1,333.683333333333
22277642,6,0,0,0
22283916,10,6,4681.7,780.283333333333
22301321,565,207,1460.8,7.05700483091787
22371742,177,44,220.6,5.01363636363636
22470137,10,1,31.0,31.0
22503648,6,0,0,0
22605909,16,11,128.6,11.6909090909091
22627659,14,1,1.9,1.9
22673724,4,1,0.8,0.8
22689481,10,2,39.6,19.8
22865756,10,9,950.9,105.655555555556
22875444,6,2,3.6,1.8
22883395,6,0,0,0
22898075,4,1,7.3,7.3
23046596,6,0,0,0
23072560,4,3,11.7,3.9
23078763,6,0,0,0
23096237,4,4,15.8,3.95
23154676,16,8,3189.7,398.7125
23181958,7,3,6.7,2.23333333333333
23219829,6,0,0,0
23225650,83,43,677.4,15.753488372093
23241240,5,2,171.7,85.85
23306116,8,1,0.4,0.4
23333992,4,1,0.2,0.2
23337959,11,1,0.2,0.2
23386002,15,8,296.8,37.1
23432272,4,0,0,0
23472549,3,3,109.4,36.4666666666667
23492094,62,45,5346.8,118.817777777778
23608098,38,28,979.1,34.9678571428571
23609845,3,0,0,0
23643789,6,3,180.8,60.2666666666667
23663429,3,1,1.3,1.3
23672423,20,9,461.9,51.3222222222222
23714890,6,1,1.7,1.7
23717586,80,46,2390.9,51.9760869565217
23718710,3,1,3.0,3.0
23780966,4,0,0,0
23883383,6,5,311.9,62.38
23918050,3,0,0,0
24011187,37,22,477.7,21.7136363636364
24204083,20,11,1211.0,110.090909090909
24258916,3,0,0,0
24334631,6,1,1.0,1.0
24366790,44,27,2288.1,84.7444444444444
24444528,3,1,0.8,0.8
24445668,1,0,0,0
24469287,415,284,2476.0,8.71830985915493
24555705,4,0,0,0
24583127,6,0,0,0
24583629,4,0,0,0
24610082,6,2,9.3,4.65
24632218,187,121,2351.7,19.4355371900826
24703611,4,1,8.9,8.9
24721232,449,89,6887.0,77.3820224719101
24817862,1,0,0,0
24841093,19,13,135.6,10.4307692307692
24858005,13,7,421.7,60.2428571428571
24872208,6,0,0,0
24889631,6,2,1.6,0.8
24919113,52,19,4375.8,230.305263157895
24932641,6,2,12.8,6.4
24972502,6,1,7.7,7.7
25031952,8,0,0,0
25096601,98,53,501.7,9.46603773584906
25185866,4,1,0.2,0.2
25253730,11,4,92.6,23.15
25272022,4,0,0,0
25337857,27,18,1469.1,81.6166666666667
25349446,3,0,0,0
25411448,6,2,20.6,10.3
25445382,7,2,1.2,0.6
25452454,6,1,0.1,0.1
25490518,4,3,17.1,5.7
25539892,11,7,1952.1,278.871428571429
25634320,6,0,0,0
25710556,1,0,0,0
25822628,6,0,0,0
25827559,6,0,0,0
25831175,6,0,0,0
25863903,7,3,71.8,23.9333333333333
25864738,2,0,0,0
25889289,4,0,0,0
25941262,4,2,89.8,44.9
25966326,6,1,0.1,0.1
26027937,26,19,498.4,26.2315789473684
26037697,6,1,7.5,7.5
26090223,4,1,3.3,3.3
26101823,6,1,0.2,0.2
26122540,10,7,182.3,26.0428571428571
26218938,4,0,0,0
26302344,53,20,227.2,11.36
26333936,14,10,140.3,14.03
26430231,61,35,964.9,27.5685714285714
26461910,6,1,329.0,329.0
26465134,88,46,2025.4,44.0304347826087
26491227,4,0,0,0
26572597,4,1,3.8,3.8
26583023,4,1,2.0,2.0
26593066,4,0,0,0
26601561,6,0,0,0
26633617,5,2,156.9,78.45
26636189,7,1,8.3,8.3
26637363,6,1,0.5,0.5
26729643,127,108,4672.8,43.2666666666667
26753925,4,1,2.8,2.8
26762388,276,178,10470.1,58.8207865168539
26779878,4,0,0,0
26789885,10,3,86.3,28.7666666666667
26802825,17,14,61.7,4.40714285714286
26808868,72,48,424.8,8.85
26813952,2,1,2.7,2.7
26822907,6,1,6.7,6.7
26861985,10,7,51.2,7.31428571428571
26897314,8,1,25.0,25.0
27023260,8,1,3.8,3.8
27029121,4,2,0.4,0.2
27037996,3,1,9.2,9.2
27060918,3,0,0,0
27099151,6,1,0.4,0.4
27100840,1,1,2.8,2.8
27115822,1,1,0.1,0.1
27116257,4,0,0,0
27117407,13,5,78.3,15.66
27139623,9,6,130.5,21.75
27152433,3,1,0.5,0.5
27168078,6,1,6.3,6.3
27169419,53,25,1265.9,50.636
27171538,34,23,716.5,31.1521739130435
27262175,45,21,923.1,43.9571428571429
27275017,2,0,0,0
27279261,185,103,3762.2,36.526213592233
27338668,4,1,31.0,31.0
27371247,6,0,0,0
27403206,110,56,498.3,8.89821428571429
27417971,4,2,443.3,221.65
27424183,5,1,1.7,1.7
27500674,2,0,0,0
27543430,5,1,13.6,13.6
27545486,19,14,820.9,58.6357142857143
27578696,6,0,0,0
27579751,8,4,148.7,37.175
27633355,1,1,4.7,4.7
27685049,6,1,0.6,0.6
27689253,6,2,37.7,18.85
27691746,3,1,0.3,0.3
27770064,4,1,7.9,7.9
27804333,2,1,0.8,0.8
27835216,4,1,0.2,0.2
27871778,3,1,9.7,9.7
27872805,10,2,13.0,6.5
27873947,6,3,16.5,5.5
27901693,9,7,42.3,6.04285714285714
27925556,6,1,1.6,1.6
27944300,3,3,25.7,8.56666666666667
28031199,7,5,530.4,106.08
28040133,3,1,603.0,603.0
28041586,3,3,691.4,230.466666666667
28064589,16,11,92.5,8.40909090909091
28113724,6,4,83.6,20.9
28116270,4,1,0.2,0.2
28165186,6,0,0,0
28229872,6,5,153.8,30.76
28236623,4,1,0.8,0.8
28257781,4,1,28.0,28.0
28424408,6,1,0.4,0.4
28425181,4,1,20.0,20.0
28443095,8,1,5.1,5.1
28453247,4,1,0.1,0.1
28453352,18,3,37.0,12.3333333333333
28472068,151,91,437.3,4.80549450549451
28608870,2,1,13.4,13.4
28633466,1,1,0.7,0.7
28648610,14,5,30.2,6.04
28696163,4,1,289.0,289.0
28705385,3,1,6.8,6.8
28711405,2,2,1510.0,755.0
28731346,7,4,18.1,4.525
28815669,4,2,41.2,20.6
28818246,3,1,0.2,0.2
28851953,3,0,0,0
28886158,5,1,28.0,28.0
28898493,3,1,0.4,0.4
28939171,5,3,29.8,9.93333333333333
28997716,15,11,297.1,27.0090909090909
29001140,2,2,7.6,3.8
29052354,16,4,128.6,32.15
29078995,3,0,0,0
29081256,9,6,13.1,2.18333333333333
29111100,6,1,1.1,1.1
29122428,3,0,0,0
29148231,8,3,174.8,58.2666666666667
29239329,93,47,448.5,9.54255319148936
29243200,1,1,2.1,2.1
29268335,5,3,34.5,11.5
29302014,18,13,614.6,47.2769230769231
29383643,4,1,0.2,0.2
29405242,3,0,0,0
29491264,3,1,0.3,0.3
29537499,2,2,77.8,38.9
29569611,5,3,23.2,7.73333333333333
29603217,3,0,0,0
29706117,20,11,76.8,6.98181818181818
29706146,2,1,0.5,0.5
29730534,8,1,869.0,869.0
29736184,6,0,0,0
29750135,1,1,0.1,0.1
29753085,85,18,1231.8,68.4333333333333
29764828,8,3,1285.9,428.633333333333
29777760,4,2,6.2,3.1
29835809,4,1,7.3,7.3
29852387,10,5,596.4,119.28
29873979,43,15,1845.4,123.026666666667
29915651,2,2,7.3,3.65
29926116,1,0,0,0
29962674,6,1,0.2,0.2
29983962,21,17,1775.7,104.452941176471
30007387,2,0,0,0
30010437,4,0,0,0
30036927,6,2,2664.6,1332.3
30041199,2,0,0,0
30042027,17,15,624.0,41.6
30061970,95,54,435.4,8.06296296296296
30064076,3,1,0.6,0.6
30067217,4,1,4.2,4.2
30115594,6,3,354.1,118.033333333333
30129850,2,1,3.4,3.4
30142763,2,0,0,0
30172489,16,12,227.5,18.9583333333333
30221587,3,1,0.2,0.2
30239820,13,9,322.2,35.8
30246419,759,135,1219.7,9.03481481481482
30280104,5,3,6.8,2.26666666666667
30283133,2,0,0,0
30323574,2,0,0,0
30402259,4,1,86.0,86.0
30425578,177,32,687.2,21.475
30432648,5,4,759.7,189.925
30434868,1,1,0.6,0.6
30440303,193,110,2467.0,22.4272727272727
30452777,6,1,0.3,0.3
30454984,6,1,0.2,0.2
30500254,7,2,15.8,7.9
30503921,1,1,5.3,5.3
30519870,90,70,3101.3,44.3042857142857
30527047,6,2,437.9,218.95
30548861,6,1,0.2,0.2
30561172,2,2,1.2,0.6
30572170,9,6,1131.2,188.533333333333
30574622,3,0,0,0
30583864,7,3,641.6,213.866666666667
30588978,5,5,1378.3,275.66
30614573,9,6,57.3,9.55
30695285,6,2,36.2,18.1
30699429,30,15,231.7,15.4466666666667
30710202,6,0,0,0
30734023,2,0,0,0
30739537,6,2,57.5,28.75
30855460,3,1,6.6,6.6
30912860,109,59,427.0,7.23728813559322
30913209,44,34,3812.1,112.120588235294
30985722,2,0,0,0
30988672,1,1,0.4,0.4
31007645,6,5,1152.9,230.58
31063925,2,0,0,0
31069041,2,0,0,0
31124692,2,0,0,0
31162433,6,4,176.2,44.05
31178210,3,1,59.0,59.0
31187179,109,90,2015.0,22.3888888888889
31188792,2,0,0,0
31241223,6,1,0.8,0.8
31260378,1,1,0.5,0.5
31319953,1,0,0,0
31385451,7,2,254.2,127.1
31425362,5,2,0.6,0.3
31500407,3,2,5.8,2.9
31559824,6,1,0.3,0.3
31598106,2,0,0,0
31616745,4,0,0,0
31662213,1,1,0.7,0.7
31668589,10,5,223.6,44.72
31669242,289,140,2976.5,21.2607142857143
31727716,33,28,2375.5,84.8392857142857
31733621,12,2,220.3,110.15
31733654,23,15,2223.1,148.206666666667
31757271,4,0,0,0
31764594,4,1,5.7,5.7
31817706,25,8,564.1,70.5125
31839832,7,3,237.4,79.1333333333333
31849177,16,10,2030.1,203.01
31887051,1,1,145.0,145.0
31887973,6,3,1.3,0.433333333333333
31889811,5,2,1.1,0.55
31944667,6,2,17.6,8.8
32021037,6,0,0,0
32102983,22,13,805.3,61.9461538461538
32125590,21,10,77.4,7.74
32126281,133,78,6362.6,81.5717948717949
32248913,4,1,14.6,14.6
32398422,4,3,5.6,1.86666666666667
32415191,6,1,0.4,0.4
32467994,95,56,5459.2,97.4857142857143
32488724,4,1,55.0,55.0
32498610,14,10,683.5,68.35
32577778,13,9,302.6,33.6222222222222
32592631,10,10,286.7,28.67
32617936,2,0,0,0
32644336,45,29,328.9,11.3413793103448
32710856,40,24,879.6,36.65
32749624,26,5,4937.3,987.46
32773537,1,1,0.4,0.4
32818456,4,2,8.9,4.45
32847394,37,31,1205.6,38.8903225806452
32939936,6,1,0.2,0.2
32965833,8,1,0.3,0.3
33013552,516,200,1459.8,7.299
33017387,1,1,3.1,3.1
33023846,2,0,0,0
33029093,6,3,246.0,82.0
33033120,1,0,0,0
33071192,10,7,15.7,2.24285714285714
33096779,6,1,0.9,0.9
33098857,6,1,7.0,7.0
33121288,3,3,43.1,14.3666666666667
33214968,13,10,2094.1,209.41
33228985,13,0,0,0
33250362,2,0,0,0
33260507,6,1,1.4,1.4
33261284,7,1,1899.0,1899.0
33279432,7,2,2.9,1.45
33282871,136,95,1892.1,19.9168421052632
33291661,5,0,0,0
33300480,5,3,5.7,1.9
33362395,3,1,1445.0,1445.0
33431754,4,1,0.1,0.1
33434940,1,0,0,0
33452361,18,12,153.0,12.75
33457161,6,2,75.8,37.9
33479807,1,0,0,0
33506449,6,1,11.8,11.8
33518079,37,30,413.2,13.7733333333333
33577800,2,0,0,0
33580866,17,17,483.7,28.4529411764706
33583543,2,0,0,0
33587126,3,1,11.0,11.0
33591806,1,1,0.9,0.9
33614428,6,1,9.3,9.3
33622085,124,100,3610.0,36.1
33651880,228,57,4219.5,74.0263157894737
33658023,2,0,0,0
33659046,32,26,1963.3,75.5115384615385
33705095,2,0,0,0
33706322,89,51,153.8,3.0156862745098
33755449,4,1,3.7,3.7
33778112,11,6,5.0,0.833333333333333
33788990,3,1,20.0,20.0
33807030,5,2,2.1,1.05
33865373,776,165,2274.4,13.7842424242424
